school_name,email,phone_no,website,school_timings,school_board,school_boards,medium_of _Instruction,academic_session,school_format,short_address,street_address,year_established,school_category,ownership,description,student_teacher_ratio,video_tour_link,district_region,district,school_city,school_state,school_country
"Delhi Public School, Sector 30",dpsnoida30@gmail.com,0120-4509100,http://www.dpsnoida.co.in/,9:30 AM to 12:45 PM,CBSE,CBSE,English,2021-22,Day School,Near Dr. B.R. Ambedhkar Government Hospital,"Gautam Budh Nagar, Sector 30",1982,Senior Secondary,Private,"DPS Noida is a private mixed day boarding school located in District 30 of Noida, providing education for students from kindergarten to 12th grade. This is a 39-year-old young school with green lawns and various flora, complementing the warm crimson red of its unique building. On the one hand, we are pleased with the established identity that we have as a learning, progressive and empowered institution. On the other hand, we feel the pleasure of getting started, because we do well every day, which makes us more eager to learn, explore, experiment and absorb. The school was established in 1982 and is committed to fostering curiosity and a journey of lifelong learning. Our student resources are 5,000 (approximately), and we have a large number of efficient and accomplished teachers to help these students prepare for life. Our physical infrastructure covers an area of ​​more than 15 acres, which includes fully equipped laboratories, updated libraries, audiovisual rooms, multipurpose hallways, activity rooms, language laboratories, math laboratories, cafeterias and a cafeteria with capacity for 150 people. . students The cozy and ""warm"" bedroom.",16:1,,Sector 30,Noida,Noida,Uttar Pradesh,India
The Khaitan School,info@thekhaitanschool.org,0120-4007575,https://thekhaitanschool.org/,8:30 AM to 12:30 PM,CBSE,CBSE,English,2021-23,Day School,"1A/A, Gautam Budh Nagar","Block-F, Sector 40",2015,Senior Secondary,Private,"Kaitan School was established in 1995. It is a CBSE affiliated school located in District 40 of Noida. It is consistently ranked among the best schools in Noida. With a student team of more than 3,800 students, 247 teachers/administrative staff and more than 125 child safety and health support staff (including CCTV operators, guards, guards, aiya`s, etc.), TKS is a team of students, parents, teachers and A thriving community of caregivers. Our school bus service provides services to Noida, Greater Noida, Noida Extension and most areas of Delhi with the help of GPS and CCTV-enabled buses. Parents will receive a free bus tracking app that helps them track buses in real time and notify them when their children get on and off their respective buses.",21:1,,Sector 40,Noida,Noida,Uttar Pradesh,India
Vishwa Bharati Public School,"Principalnoida@vbpsgroup.com, adminnoida@vbpsgroup.com, accountsnoida@vbpsgroup.com","0120-2455142, 0120-2455197",http://www.vbpsnoida.com/index,8:30 AM to 2:30 PM,CBSE,CBSE,English,2021-24,Day School,Arun Vihar,"Sector 28, Gautam Budh Nagar",1988,Senior Secondary,Private,"Vishwa Bharati Public School, District 28, Noida is a CBSE affiliated high school (affiliated number 2130138). It is a department of the Vishwa Bharati Women's Welfare Agency, which is responsible for managing a series of institutions of J&K and NCR. The school covers an area of ​​7 acres, opened in 1989, and has about 600 students. Today, it has more than 4,000 students on its list. The school has a beautifully designed campus, and its magnificent buildings support high-tech infrastructure including smart classrooms. In the high school stage, it caters to science, business and humanities as well as a variety of optional elective courses. The curriculum is dynamic and holistic in nature. Both school students and joint school students receive equal attention. The school is a member of the National Conference of Progressive Schools and is known for its excellent results on board exams and sports and other extracurricular activities each year.",21:1,,Sector 28,Noida,Noida,Uttar Pradesh,India
Gyan Shree school,info@gyanshree.in,"7042193396, 8527600000",https://www.gyanshree.in/site/index.aspx,8:00 AM to 12:00 PM,CBSE,CBSE,English,2021-25,Day School,Noida Expressway,"Gautam Budh Nagar, Sector 127",2014,Senior Secondary,Private,"Founded in 2013, Noida is a progressive K12 school affiliated with CBSE with the support of the leading business school Gyanshree School. In a short span of time, this International School Award (British Council) recognized school has built a reputation as one of NCR's high potential secondary schools. Gyanshree's vision is to prepare students for a rapidly changing world by developing their critical thinking skills, global vision, and respect for core values. We are committed to adopting unique learning methods and an ""easy learning"" environment to help children become lifelong learners. Our state-of-the-art R&D center cooperates with two leading educational institutions in Finland and Singapore. What we pursue at Gyanshree is lifelong education. The school is guided and instructed by well-known domestic and international skilled sailors. The hallmark of Gyanshree School is a special indigenous curriculum designed to instill in students the values ​​that are designed to connect with real life and influence students’ lives. After all, the goal of education is to create outstanding people.",12:1,,Sector 127,Noida,Noida,Uttar Pradesh,India
The Heritage School,info@noida.theheritageschool.in,7272898925,https://www.theheritageschoolnoida.org/,8:30 AM to 12:30 PM,CBSE,CBSE,English,2021-26,Day School,"I-5, Jaypee Wish Town","Sector 128, Gautam Budh Nagar",2020,Middle,Private,"The purpose of education must be aligned with the greater life purpose of the educated. This deep-seated belief prompted the founder of The Heritage School Group, Late Shri N.C. Jain, to enter the field of education about 30 years ago. The heritage school Vasant Kunj is the first school of the group, established in 1999 under his guidance and guidance. His philosophy, enthusiasm and conviction have always been the guide for countless people to find their own truth in their lives. As a true visionary, he inspired the next level of change in the education ecosystem. He is known for his great work in philanthropy, and he has contributed to a number of social causes, focusing on education and healthcare for the disadvantaged.",16:1,,Sector 128,Noida,Noida,Uttar Pradesh,India
"Ryan International School, Sector 39",ris.noida@ryangroup.org,"0120-2574471, 0120-2501650",https://www.ryaninternational.org/site/risnoida/,9:00 AM TO 12:00 PM,CBSE,CBSE,English,2021-27,Day School,D – 46B,"Sector 39, Gautam Budh Nagar",1992,Senior Secondary,Private,"Noida Ruian International School was established in 1992 to provide ""an excellent education and comprehensive development."" Today, as a branch of 139 schools across the country and abroad, we are powerful and have affected more than 200,000 students. Our school has a long tradition of academic excellence, and our team of teachers and support staff prides itself on providing a safe and reliable learning environment. We provide a wealth of opportunities for extracurricular development in theater, sports, art, and community service. Our academic excellence is reflected in the excellent results of our board at levels X and XII (201718). Our alumni have been accepted by respected educational institutions such as IIT, St. Stephens, Hindu Institute, Jamia Milia, SRCC, etc. We provide comprehensive education and equal opportunities to cultivate the creativity of students through various national and international activities. which",40:1,,Sector 39,Noida,Noida,Uttar Pradesh,India
"Delhi Public School, Sector 122",,"0120-4509100, 8766395435",,,CBSE,CBSE,English,2021-28,Day School,,"Sector 122, Gautam Budh Nagar",,Senior Secondary,Private,"Ryan International School, Noida Expansion, is located near Noida Expansion and is part of the Ryan International Institution Group. Under the guidance of the future vision of Dr. Augustine F. Pinto, the founding president of Shui On Group, we are constantly striving to innovate the education scene. The institution was established in 1998 with the motto of ""Excellent Education and Comprehensive Development"". It is a co-educational school affiliated to C.B.S.E and has the most advanced infrastructure. Our efforts are aimed at achieving comprehensive global education through innovative use of technology, in order to cultivate global citizens through a holistic approach.",16:1,,Sector 122,Noida,Noida,Uttar Pradesh,India
"Bal Bharti Public School, Brij vihar","bbpsbv@balbharti.org, bbpsbv@yahoo.co.in",0120-4561403,https://bbpsbrijvihar.balbharati.org/,7:40 AM to 2:05 PM,CBSE,CBSE,English,2021-22,Day School,"Block A, Chander Nagar",Brij Vihar,1984,Senior Secondary,Private,"Bal Bharati Public School is located in the hustle and bustle of Brij Vihar. It was established by the Early Childhood Education Association in 1984. Over the years, with her futuristic vision and general education, she has opened up a world for herself. Currently, the number of students in the school is approximately 2,915. 
  School Administration and Personnel: The school administration committee is chaired by Mr. R.K. Gupta as president and L.V. Sehgal as secretary (manager). The principal, Mr. Arvind Bhatia, is supported by a team of qualified and experienced teachers. 
  Campus - Covering 5.25 acres, the Bal Bharati Public School, Brij Vihar, has the most advanced infrastructure and beautiful surroundings. Since its establishment, it has been committed to providing students with a comfortable learning environment with modern ideas and perspectives. and the rich of India The traditions and customs of cultural heritage flourish together. Green lawns, huge playgrounds, basketball courts, volleyball and tennis courts, football fields and perfectly designed cricket courts all admit that physical health is as important as mental health. The most advanced libraries, laboratories and smart classrooms provide a perfect environment for children's academic and extracurricular activities.",19:1,,Brij Vihar,Ghaziabad,Ghaziabad,Uttar Pradesh,India
"Delhi Public School, Raj Nagar Extension",info@dpsrnext.com,"9205472615, 9205472616",https://www.dpsrnext.com/,8:00 AM to 11:30 AM,CBSE,CBSE,English,2021-23,Day School,"Behind HRIT Campus, Morta","Meerut Road, Raj Nagar Extension",2015,Senior Secondary,Private,"About the school The Delhi Public Schools Association is recognized throughout the academic community for its progressive approach and commitment to excellence. Differentiation and diversity are the hallmarks of his philosophy. Today, it has become a fortress of learning and a pioneer of quality, dedicated to cultivating the conscience of young people. Continuing the tradition of excellent education, DPS R.N. expands as a progressive educational institution that keeps pace with the times and meets the needs of contemporary society. The school follows the advanced model of the Central Committee for Secondary Education (CBSE) and has the most advanced infrastructure, including digital/computer technology-enabled classrooms, secure CCTV camera networks, well-equipped computing laboratories, science, social research, mathematics, The large auditorium and sincere and dedicated staff to ensure the safety and well-being of your children. DPS R.N. Expansion is another commendable initiative of the prestigious DPS Association, which aims to promote quality education for children in Ghaziabad and adjacent areas. The school occupies an area of ​​10 acres of lush green campus, pollution-free atmosphere, pleasant environment, conducive to happy learning.",15:1,,Raj Nagar Extension,Ghaziabad,Ghaziabad,Uttar Pradesh,India
"Delhi Public School, Indirapuram",info@dpsindirapuram.com,"0120-4660000, 0120-4670000",https://www.dpsindirapuram.com/,8:30 AM to 2:00 PM,CBSE,CBSE,English,2021-24,Day School,"526/1, Ahinsa Khand 2",Indirapuram,2003,Senior Secondary,Private,"Delhi Public School lndirapuram was established in 2003 and is a first-class school sponsored by the Delhi Public Schools Association in New Delhi. This institution is affiliated to the Central Committee for Secondary Education (CBSE), and its education policy adopts a dynamic approach and meets the changing needs of society.",17:1,,Indirapuram,Ghaziabad,Ghaziabad,Uttar Pradesh,India
