School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,Nursery,12,,,200,Onetime,3843,Monthly,,,6912,Annually,11472,Annually,300,Onetime,65000,5375
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,KG,13,,,200,Onetime,3843,Monthly,,,6912,Annually,11472,Annually,300,Onetime,65000,5375
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,1,1,,,200,Onetime,3843,Monthly,,,6912,Annually,11472,Annually,300,Onetime,65000,5375
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,2,2,,,200,Onetime,3843,Monthly,,,6912,Annually,11472,Annually,300,Onetime,65000,5375
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,3,3,,,200,Onetime,3720,Monthly,,,6696,Annually,1027,Annually,,,52563,4364
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,4,4,,,200,Onetime,3720,Monthly,,,6696,Annually,1027,Annually,,,52563,4364
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,5,5,,,200,Onetime,3720,Monthly,,,6696,Annually,1027,Annually,,,52563,4364
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,6,6,,,200,Onetime,3146,Monthly,,,5664,Annually,1455,Annually,,,45071,3739
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,7,7,,,200,Onetime,3146,Monthly,,,5664,Annually,1455,Annually,,,45071,3739
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,8,8,,,200,Onetime,3146,Monthly,,,5664,Annually,1455,Annually,,,45071,3739
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,9,9,,,200,Onetime,2646,Monthly,,,4758,Annually,1592,Annually,,,38302,3175
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,10,10,,,200,Onetime,2646,Monthly,,,4758,Annually,1592,Annually,,,38302,3175
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,11,14,,,200,Onetime,2488,Monthly,,,4476,Annually,1554,Annually,,,36086,2991
"RPM Lovely Public Sr. Sec.School, New Layalpur",110051,315,12,15,,,200,Onetime,2488,Monthly,,,4476,Annually,1554,Annually,,,36086,2991
Lovely Public English School,110092,1579,Nursery,12,,,25,Onetime,2500,Monthly,,,,,,,,,30025,2500
Lovely Public English School,110092,1579,KG,13,,,25,Onetime,2500,Monthly,,,,,,,,,30025,2500
Lovely Public English School,110092,1579,1,1,,,25,Onetime,2500,Monthly,,,,,,,,,30025,2500
Lovely Public English School,110092,1579,2,2,,,25,Onetime,2500,Monthly,,,,,,,,,30025,2500
Lovely Public English School,110092,1579,3,3,,,25,Onetime,2500,Monthly,,,,,,,,,30025,2500
Lovely Public English School,110092,1579,4,4,,,25,Onetime,2200,Monthly,,,,,,,,,26425,2200
Lovely Public English School,110092,1579,5,5,,,25,Onetime,2200,Monthly,,,,,,,,,26425,2200
Lovely Public English School,110092,1579,6,6,,,25,Onetime,2200,Monthly,,,,,,,,,26425,2200
Lovely Public English School,110092,1579,7,7,,,25,Onetime,2200,Monthly,,,,,,,,,26425,2200
Lovely Public English School,110092,1579,8,8,,,25,Onetime,2200,Monthly,,,,,,,,,26425,2200
"Lovely Public School, Geeta Colony",110031,261,NA,,,,,,,,,,,,,,,,0,0
Mayur Public School,110092,280,1,1,,,200,Onetime,3470,Monthly,,,5440,Annually,6243,Annually,,,53523,4444
Mayur Public School,110092,280,2,2,,,200,Onetime,3470,Monthly,,,5440,Annually,6243,Annually,,,53523,4444
Mayur Public School,110092,280,3,3,,,200,Onetime,3470,Monthly,,,5440,Annually,6243,Annually,,,53523,4444
Mayur Public School,110092,280,4,4,,,200,Onetime,3470,Monthly,,,5440,Annually,6243,Annually,,,53523,4444
Mayur Public School,110092,280,5,5,,,200,Onetime,3470,Monthly,,,5440,Annually,6243,Annually,,,53523,4444
Mayur Public School,110092,280,6,6,,,200,Onetime,2990,Monthly,,,5440,Annually,5380,Annually,,,46900,3892
Mayur Public School,110092,280,7,7,,,200,Onetime,2990,Monthly,,,5440,Annually,5380,Annually,,,46900,3892
Mayur Public School,110092,280,8,8,,,200,Onetime,2990,Monthly,,,5440,Annually,5380,Annually,,,46900,3892
Mayur Public School,110092,280,9,9,,,200,Onetime,3450,Monthly,,,5440,Annually,6210,Annually,,,53250,4421
Mayur Public School,110092,280,10,10,,,200,Onetime,3450,Monthly,,,5440,Annually,6210,Annually,,,53250,4421
Mayur Public School,110092,280,11,14,,,200,Onetime,4485,Monthly,,,5440,Annually,8070,Annually,,,67530,5611
Mayur Public School,110092,280,12,15,,,200,Onetime,4485,Monthly,,,5440,Annually,8070,Annually,,,67530,5611
"Angels Public School, Vasundhara",110096,262,Nursery,12,,,200,Onetime,1750,Monthly,,,10400,Annually,5800,Annually,,,37400,3100
"Angels Public School, Vasundhara",110096,262,KG,13,,,200,Onetime,1750,Monthly,,,10400,Annually,5800,Annually,,,37400,3100
"Angels Public School, Vasundhara",110096,262,1,1,,,200,Onetime,1850,Monthly,,,10400,Annually,5800,Annually,,,38600,3200
"Angels Public School, Vasundhara",110096,262,2,2,,,200,Onetime,1850,Monthly,,,10400,Annually,5800,Annually,,,38600,3200
"Angels Public School, Vasundhara",110096,262,3,3,,,200,Onetime,1850,Monthly,,,10400,Annually,5800,Annually,,,38600,3200
"Angels Public School, Vasundhara",110096,262,4,4,,,200,Onetime,1850,Monthly,,,10400,Annually,5800,Annually,,,38600,3200
"Angels Public School, Vasundhara",110096,262,5,5,,,200,Onetime,1850,Monthly,,,10400,Annually,5800,Annually,,,38600,3200
"Angels Public School, Vasundhara",110096,262,6,6,,,200,Onetime,1900,Monthly,,,10400,Annually,5800,Annually,,,39200,3250
"Angels Public School, Vasundhara",110096,262,7,7,,,200,Onetime,1900,Monthly,,,10400,Annually,5800,Annually,,,39200,3250
"Angels Public School, Vasundhara",110096,262,8,8,,,200,Onetime,1900,Monthly,,,10400,Annually,5800,Annually,,,39200,3250
"Angels Public School, Vasundhara",110096,262,9,9,,,200,Onetime,2200,Monthly,,,10400,Annually,5800,Annually,,,42800,3550
"Angels Public School, Vasundhara",110096,262,10,10,,,200,Onetime,2200,Monthly,,,10400,Annually,5800,Annually,,,42800,3550
"Angels Public School, Vasundhara",110096,262,11th,14,Science,2,200,Onetime,3000,Monthly,,,10400,Annually,16600,Annually,,,63200,5250
"Angels Public School, Vasundhara",110096,262,11th,14,Commerce,1,200,Onetime,3000,Monthly,,,10400,Annually,5800,Annually,,,52400,4350
"Angels Public School, Vasundhara",110096,262,11th,14,Arts,3,200,Onetime,3000,Monthly,,,10400,Annually,5800,Annually,,,52400,4350
"Angels Public School, Vasundhara",110096,262,12th,15,Science,2,200,Onetime,3000,Monthly,,,10400,Annually,16600,Annually,,,63200,5250
"Angels Public School, Vasundhara",110096,262,12th,15,Commerce,1,200,Onetime,3000,Monthly,,,10400,Annually,5800,Annually,,,52400,4350
"Angels Public School, Vasundhara",110096,262,12th,15,Arts,3,200,Onetime,3000,Monthly,,,10400,Annually,5800,Annually,,,52400,4350
"Siddharth International Public School, Dilshad Garden",110095,1554,Nursery,12,,,225,Onetime,,,5907,Quarterly,3544,Annually,12876,Annually,7500,Onetime,24145,3337
"Siddharth International Public School, Dilshad Garden",110095,1554,KG,13,,,225,Onetime,,,5907,Quarterly,3544,Annually,12876,Annually,9000,Onetime,25645,3337
