School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Greater Noida World School,201303,263,Pre Nursery,11,,,20500,Onetime,,,13700,Quarterly,,,,,5000,Onetime,80300,4567
Greater Noida World School,201303,263,Nursery,12,,,20500,Onetime,,,13700,Quarterly,,,,,5000,Onetime,80300,4567
Greater Noida World School,201303,263,1,1,,,20500,Onetime,,,14360,Quarterly,,,,,5000,Onetime,82940,4787
Greater Noida World School,201303,263,2,2,,,20500,Onetime,,,14360,Quarterly,,,,,5000,Onetime,82940,4787
Greater Noida World School,201303,263,3,3,,,20500,Onetime,,,14360,Quarterly,,,,,5000,Onetime,82940,4787
Greater Noida World School,201303,263,4,4,,,20500,Onetime,,,14360,Quarterly,,,,,5000,Onetime,82940,4787
Greater Noida World School,201303,263,5,5,,,20500,Onetime,,,14360,Quarterly,,,,,5000,Onetime,82940,4787
Greater Noida World School,201303,263,6,6,,,20500,Onetime,,,15680,Quarterly,,,,,5000,Onetime,88220,5227
Greater Noida World School,201303,263,7,7,,,20500,Onetime,,,15680,Quarterly,,,,,5000,Onetime,88220,5227
Greater Noida World School,201303,263,8,8,,,20500,Onetime,,,15680,Quarterly,,,,,5000,Onetime,88220,5227
Greater Noida World School,201303,263,9,9,,,20500,Onetime,,,16670,Quarterly,,,,,5000,Onetime,92180,5557
Greater Noida World School,201303,263,10,10,,,20500,Onetime,,,16670,Quarterly,,,,,5000,Onetime,92180,5557
Greater Noida World School,201303,263,11th,14,Science,2,20500,Onetime,,,20300,Quarterly,,,,,5000,Onetime,106700,6767
Greater Noida World School,201303,263,11th,14,Commerce,1,20500,Onetime,,,18650,Quarterly,,,,,5000,Onetime,100100,6217
Greater Noida World School,201303,263,11th,14,Arts,3,20500,Onetime,,,18650,Quarterly,,,,,5000,Onetime,100100,6217
Greater Noida World School,201303,263,12th,15,Science,2,20500,Onetime,,,20300,Quarterly,,,,,5000,Onetime,106700,6767
Greater Noida World School,201303,263,12th,15,Commerce,1,20500,Onetime,,,18650,Quarterly,,,,,5000,Onetime,100100,6217
Greater Noida World School,201303,263,12th,15,Arts,3,20500,Onetime,,,18650,Quarterly,,,,,5000,Onetime,100100,6217
"The Manthan School, Gautam Budh Nagar",201301,346,Pre Nursery,11,,,16000,Onetime,6000,Monthly,,,,,18000,Annually,,,106000,7500
"The Manthan School, Gautam Budh Nagar",201301,346,Nursery,12,,,26000,Onetime,8400,Monthly,,,,,26000,Annually,,,152800,10567
"The Manthan School, Gautam Budh Nagar",201301,346,KG,13,,,26000,Onetime,8400,Monthly,,,,,26000,Annually,,,152800,10567
"The Manthan School, Gautam Budh Nagar",201301,346,1,1,,,26000,Onetime,8400,Monthly,,,,,26000,Annually,,,152800,10567
"The Manthan School, Gautam Budh Nagar",201301,346,2,2,,,26000,Onetime,8400,Monthly,,,,,26000,Annually,,,152800,10567
"Bodhi Taru International School, Greater Noida",201308,1580,Nursery,12,,,16000,Onetime,,,10500,Quarterly,,,20000,Annually,,,78000,5167
"Bodhi Taru International School, Greater Noida",201308,1580,KG,13,,,16000,Onetime,,,10500,Quarterly,,,20000,Annually,,,78000,5167
"Bodhi Taru International School, Greater Noida",201308,1580,1,1,,,16000,Onetime,,,12000,Quarterly,,,20000,Annually,,,84000,5667
"Bodhi Taru International School, Greater Noida",201308,1580,2,2,,,16000,Onetime,,,12000,Quarterly,,,20000,Annually,,,84000,5667
"Bodhi Taru International School, Greater Noida",201308,1580,3,3,,,16000,Onetime,,,13500,Quarterly,,,20000,Annually,,,90000,6167
"Bodhi Taru International School, Greater Noida",201308,1580,4,4,,,16000,Onetime,,,13500,Quarterly,,,20000,Annually,,,90000,6167
"Bodhi Taru International School, Greater Noida",201308,1580,5,5,,,16000,Onetime,,,13500,Quarterly,,,20000,Annually,,,90000,6167
"Bodhi Taru International School, Greater Noida",201308,1580,6,6,,,16000,Onetime,,,15000,Quarterly,,,20000,Annually,,,96000,6667
