School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
"Bal Bharati Public School, Rajender Nagar",110060,660,Nursery,13,,,17225,Onetime,6730,Monthly,,,10080,Annually,16160,Annually,,,124225,8917
"Bal Bharati Public School, Rajender Nagar",110060,660,UKG,13,,,17225,Onetime,5975,Monthly,,,8700,Annually,16160,Annually,,,113785,8047
"Bal Bharati Public School, Rajender Nagar",110060,660,1,1,,,17225,Onetime,5975,Monthly,,,8700,Annually,17600,Annually,,,115225,8167
"Bal Bharati Public School, Rajender Nagar",110060,660,2,2,,,17225,Onetime,5975,Monthly,,,8700,Annually,17600,Annually,,,115225,8167
"Bal Bharati Public School, Rajender Nagar",110060,660,3,3,,,17225,Onetime,5975,Monthly,,,8700,Annually,21800,Annually,,,119425,8517
"Bal Bharati Public School, Rajender Nagar",110060,660,4,4,,,17225,Onetime,5975,Monthly,,,8700,Annually,21800,Annually,,,119425,8517
"Bal Bharati Public School, Rajender Nagar",110060,660,5,5,,,17225,Onetime,5975,Monthly,,,8700,Annually,21800,Annually,,,119425,8517
"Bal Bharati Public School, Rajender Nagar",110060,660,6,6,,,17225,Onetime,6620,Monthly,,,9900,Annually,21800,Annually,,,128365,9262
"Bal Bharati Public School, Rajender Nagar",110060,660,7,7,,,17225,Onetime,6620,Monthly,,,9900,Annually,21800,Annually,,,128365,9262
"Bal Bharati Public School, Rajender Nagar",110060,660,8,8,,,17225,Onetime,6620,Monthly,,,9900,Annually,21800,Annually,,,128365,9262
"Bal Bharati Public School, Rajender Nagar",110060,660,9,9,,,17225,Onetime,6875,Monthly,,,10320,Annually,21800,Annually,,,131845,9552
