School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Salvation Tree School,203207,680,Pre Nursery,11,,,31000,Onetime,3000,Monthly,,,,,18000,Annually,,,85000,4500
Salvation Tree School,203207,680,Nursery,12,,,31000,Onetime,3000,Monthly,,,,,18000,Annually,,,85000,4500
Salvation Tree School,203207,680,KG,13,,,31000,Onetime,3000,Monthly,,,,,18000,Annually,,,85000,4500
Salvation Tree School,203207,680,1,1,,,31000,Onetime,3500,Monthly,,,,,18000,Annually,,,91000,5000
Salvation Tree School,203207,680,2,2,,,31000,Onetime,3500,Monthly,,,,,18000,Annually,,,91000,5000
Salvation Tree School,203207,680,3,3,,,31000,Onetime,3500,Monthly,,,,,18000,Annually,,,91000,5000
Salvation Tree School,203207,680,4,4,,,31000,Onetime,4500,Monthly,,,,,18000,Annually,,,103000,6000
Salvation Tree School,203207,680,5,5,,,31000,Onetime,4500,Monthly,,,,,18000,Annually,,,103000,6000
Salvation Tree School,203207,680,6,6,,,31000,Onetime,5000,Monthly,,,,,18000,Annually,,,109000,6500
Salvation Tree School,203207,680,7,7,,,31000,Onetime,5000,Monthly,,,,,18000,Annually,,,109000,6500
Salvation Tree School,203207,680,8,8,,,31000,Onetime,5000,Monthly,,,,,18000,Annually,,,109000,6500
Modern Public School,201310,805,Pre Nursery,11,,,,,,,13390,Quarterly,,,,,,,53560,4463.333333
Modern Public School,201310,805,Nursery,12,,,,,,,13390,Quarterly,,,,,,,53560,4463.333333
Modern Public School,201310,805,UKG,16,,,,,,,13390,Quarterly,,,,,,,53560,4463.333333
Modern Public School,201310,805,1,1,,,,,,,13930,Quarterly,,,,,,,55720,4643.333333
Modern Public School,201310,805,2,2,,,,,,,14980,Quarterly,,,,,,,59920,4993.333333
Modern Public School,201310,805,3,3,,,,,,,14980,Quarterly,,,,,,,59920,4993.333333
