School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees, Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Delhi Public School(GBN),201301,286,Nursery ,12,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,UKG,16,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,1,1,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,2,2,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,3,3,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,4,4,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,5,5,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,6,6,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,7,7,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,8,8,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,9,9,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,10,10,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,11,14,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Delhi Public School(GBN),201301,286,12,15,,,85000,Onetime,,,24762,Quarterly,,,52036,Annually,,,236084,12590
Fortune World School,201304,988,Pre Nursery,11,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,Nursery ,12,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,KG,13,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,1,1,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,2,2,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,3,3,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,4,4,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,5,5,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,6,6,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,7,7,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,8,8,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,9,9,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,10,10,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,11,14,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Fortune World School,201304,988,12,15,,,70500,Onetime,11500,Monthly,,,,,,,,,208500,11500
Mayoor School,201304,973,Pre Nursery,11,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,Nursery ,12,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,KG,13,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,1,1,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,2,2,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,3,3,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,4,4,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,5,5,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,6,6,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,7,7,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,8,8,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,9,9,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,10,10,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
Mayoor School,201304,973,11,14,,,70600,Onetime,,,,,,,132000,Annually,,,202600,11000
