School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Parevartan School,201003,885,1,1,,,20000,Onetime,5040,Monthly,,,,,22000,Annually,,,102480,6873
Parevartan School,201003,885,2,2,,,20000,Onetime,5040,Monthly,,,,,22000,Annually,,,102480,6873
Parevartan School,201003,885,3,3,,,20000,Onetime,5040,Monthly,,,,,22000,Annually,,,102480,6873
Parevartan School,201003,885,4,4,,,20000,Onetime,5040,Monthly,,,,,22000,Annually,,,102480,6873
Parevartan School,201003,885,5,5,,,20000,Onetime,5040,Monthly,,,,,22000,Annually,,,102480,6873
Parevartan School,201003,885,6,6,,,20000,Onetime,5460,Monthly,,,,,22000,Annually,,,107520,7293
Parevartan School,201003,885,7,7,,,20000,Onetime,5460,Monthly,,,,,22000,Annually,,,107520,7293
Parevartan School,201003,885,8,8,,,20000,Onetime,5460,Monthly,,,,,22000,Annually,,,107520,7293
Parevartan School,201003,885,9,9,,,20000,Onetime,5460,Monthly,,,,,22000,Annually,,,107520,7293
Parevartan School,201003,885,10,10,,,20000,Onetime,5460,Monthly,,,,,22000,Annually,,,107520,7293
Parevartan School,201003,885,11,14,,,20000,Onetime,5980,Monthly,,,,,22000,Annually,,,113760,7813
Parevartan School,201003,885,12,15,,,20000,Onetime,5980,Monthly,,,,,22000,Annually,,,113760,7813
Sanskar The Co-Educational School,201002,1558,1,1,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,2,2,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,3,3,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,4,4,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,5,5,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,6,6,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,7,7,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,8,8,,,20000,Onetime,4350,Monthly,,,5000,Annually,13750,Annually,,,90950,5913
Sanskar The Co-Educational School,201002,1558,9,9,,,20000,Onetime,4800,Monthly,,,5000,Annually,13750,Annually,,,96350,6363
Sanskar The Co-Educational School,201002,1558,10,10,,,20000,Onetime,4800,Monthly,,,5000,Annually,13750,Annually,,,96350,6363
Sanskar The Co-Educational School,201002,1558,11,14,,,20000,Onetime,4800,Monthly,,,5000,Annually,13750,Annually,,,96350,6363
Sanskar The Co-Educational School,201002,1558,12,15,,,20000,Onetime,4800,Monthly,,,5000,Annually,13750,Annually,,,96350,6363
Nehru World School,201002,1724,Pre Nursery,11,,,51500,Onetime,11030,Monthly,,,,,,,,,183860,11030
Nehru World School,201002,1724,Nursery,12,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,KG,13,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,1,1,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,2,2,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,3,3,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,4,4,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,5,5,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,6,6,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,7,7,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,8,8,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,9,9,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,10,10,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,11,14,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Nehru World School,201002,1724,12,15,,,51500,Onetime,11690,Monthly,,,,,,,,,191780,11690
Khaitan Public School,201005,1562,Pre Nursery,11,,,26100,Onetime,,,24915,Quarterly,,,,,,,125760,8305
