School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
GEMS Modern Academy,122018,1791,Pre Nursery,11,,,26000,Onetime,,,33850,Quarterly,,,30000,Annually,15000,Onetime,206400,13783
GEMS Modern Academy,122018,1791,LKG,17,,,26000,Onetime,,,33850,Quarterly,,,30000,Annually,15000,Onetime,206400,13783
GEMS Modern Academy,122018,1791,UKG,16,,,26000,Onetime,,,33850,Quarterly,,,30000,Annually,15000,Onetime,206400,13783
GEMS Modern Academy,122018,1791,1,1,,,26000,Onetime,,,36750,Quarterly,,,30000,Annually,15000,Onetime,218000,14750
GEMS Modern Academy,122018,1791,2,2,,,26000,Onetime,,,36750,Quarterly,,,30000,Annually,15000,Onetime,218000,14750
GEMS Modern Academy,122018,1791,3,3,,,26000,Onetime,,,36750,Quarterly,,,30000,Annually,15000,Onetime,218000,14750
GEMS Modern Academy,122018,1791,4,4,,,26000,Onetime,,,39600,Quarterly,,,30000,Annually,15000,Onetime,229400,15700
GEMS Modern Academy,122018,1791,5,5,,,26000,Onetime,,,39600,Quarterly,,,30000,Annually,15000,Onetime,229400,15700
GEMS Modern Academy,122018,1791,6,6,,,26000,Onetime,,,42500,Quarterly,,,30000,Annually,15000,Onetime,241000,16667
GEMS Modern Academy,122018,1791,7,7,,,26000,Onetime,,,42500,Quarterly,,,30000,Annually,15000,Onetime,241000,16667
GEMS Modern Academy,122018,1791,8,8,,,26000,Onetime,,,42500,Quarterly,,,30000,Annually,15000,Onetime,241000,16667
GEMS Modern Academy,122018,1791,9,9,,,26000,Onetime,,,45000,Quarterly,,,30000,Annually,15000,Onetime,251000,17500
GEMS Modern Academy,122018,1791,10,10,,,26000,Onetime,,,45000,Quarterly,,,30000,Annually,15000,Onetime,251000,17500
GEMS Modern Academy,122018,1791,11,14,,,26000,Onetime,,,48600,Quarterly,,,30000,Annually,15000,Onetime,265400,18700
GEMS International School,122017,1793,Pre Nursery,11,,,40800,Onetime,,,24375,Quarterly,,,25000,Annually,30000,Onetime,193300,10208
GEMS International School,122017,1793,LKG,17,,,40800,Onetime,,,24375,Quarterly,,,25000,Annually,30000,Onetime,193300,10208
GEMS International School,122017,1793,UKG,16,,,40800,Onetime,,,24375,Quarterly,,,25000,Annually,30000,Onetime,193300,10208
GEMS International School,122017,1793,1,1,,,40800,Onetime,,,24375,Quarterly,,,25000,Annually,30000,Onetime,193300,10208
GEMS International School,122017,1793,2,2,,,40800,Onetime,,,24375,Quarterly,,,25000,Annually,30000,Onetime,193300,10208
