School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Mount Abu Public School,110089,1688,LKG,17,,,200,Onetime,,,7722,Quarterly,3088,Annually,4164,Annually,,,38340,3178
Mount Abu Public School,110089,1688,KG,13,,,200,Onetime,,,7722,Quarterly,3088,Annually,4164,Annually,,,38340,3178
Mount Abu Public School,110089,1688,1,1,,,200,Onetime,,,9849,Quarterly,3684,Annually,6060,Annually,,,49340,4095
Mount Abu Public School,110089,1688,2,2,,,200,Onetime,,,9849,Quarterly,3684,Annually,6060,Annually,,,49340,4095
Mount Abu Public School,110089,1688,3,3,,,200,Onetime,,,9849,Quarterly,3684,Annually,6060,Annually,,,49340,4095
Mount Abu Public School,110089,1688,4,4,,,200,Onetime,,,9849,Quarterly,3684,Annually,6060,Annually,,,49340,4095
Mount Abu Public School,110089,1688,5,5,,,200,Onetime,,,9849,Quarterly,3684,Annually,6060,Annually,,,49340,4095
Mount Abu Public School,110089,1688,6,6,,,200,Onetime,,,10722,Quarterly,4032,Annually,6224,Annually,,,53344,4429
Mount Abu Public School,110089,1688,7,7,,,200,Onetime,,,10722,Quarterly,4032,Annually,6224,Annually,,,53344,4429
Mount Abu Public School,110089,1688,8,8,,,200,Onetime,,,10722,Quarterly,4032,Annually,6224,Annually,,,53344,4429
Mount Abu Public School,110089,1688,9,9,,,200,Onetime,,,10722,Quarterly,4032,Annually,6224,Annually,,,53344,4429
Mount Abu Public School,110089,1688,10,10,,,200,Onetime,,,10722,Quarterly,4032,Annually,6224,Annually,,,53344,4429
Mount Abu Public School,110089,1688,11th ,14,Science,2,200,Onetime,,,15342,Quarterly,5788,Annually,9136,Annually,,,76492,6358
Mount Abu Public School,110089,1688,11th ,14,Commerce,1,200,Onetime,,,13428,Quarterly,5024,Annually,9136,Annually,,,68072,5656
Mount Abu Public School,110089,1688,12th,15,Science,1,200,Onetime,,,15342,Quarterly,5788,Annually,9136,Annually,,,76492,6358
Mount Abu Public School,110089,1688,12th,15,Commerce,2,200,Onetime,,,13428,Quarterly,5024,Annually,9136,Annually,,,68072,5656
Remal Public Sr Sec School,110085,1352,UKG,16,,,225,Onetime,2245,Monthly,,,4020,Annually,5795,Annually,,,36980,3063
Remal Public Sr Sec School,110085,1352,1,1,,,225,Onetime,1900,Monthly,,,3420,Annually,5125,Annually,,,31570,2612
Remal Public Sr Sec School,110085,1352,2,2,,,225,Onetime,1900,Monthly,,,3420,Annually,5125,Annually,,,31570,2612
Remal Public Sr Sec School,110085,1352,3,3,,,225,Onetime,1900,Monthly,,,3420,Annually,5125,Annually,,,31570,2612
Remal Public Sr Sec School,110085,1352,4,4,,,225,Onetime,1900,Monthly,,,3420,Annually,5125,Annually,,,31570,2612
Remal Public Sr Sec School,110085,1352,5,5,,,225,Onetime,1900,Monthly,,,3420,Annually,5125,Annually,,,31570,2612
Remal Public Sr Sec School,110085,1352,6,6,,,225,Onetime,2105,Monthly,,,3780,Annually,5125,Annually,,,34390,2847
Remal Public Sr Sec School,110085,1352,7,7,,,225,Onetime,2105,Monthly,,,3780,Annually,5125,Annually,,,34390,2847
Remal Public Sr Sec School,110085,1352,8,8,,,225,Onetime,2105,Monthly,,,3780,Annually,5125,Annually,,,34390,2847
Remal Public Sr Sec School,110085,1352,9,9,,,225,Onetime,2765,Monthly,,,4980,Annually,5365,Annually,,,43750,3627
Remal Public Sr Sec School,110085,1352,10,10,,,,,2765,Monthly,,,4980,Annually,5365,Annually,,,43525,3627
Remal Public Sr Sec School,110085,1352,11,14,,,225,Onetime,3370,Monthly,,,6060,Annually,6415,Annually,,,53140,4410
Remal Public Sr Sec School,110085,1352,12,15,,,,,3370,Monthly,,,6060,Annually,6415,Annually,,,52915,4410
P P International School,110034,1233,NA,,,,,,,,,,,,,,,,0,0
"G D Goenka Public School, Rohini Sector 9",110085,1347,Nursery ,12,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,KG,13,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,1,1,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,2,2,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,3,3,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,4,4,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,5,5,,,225,Onetime,7986,Monthly,,,14375,Annually,15772,Annually,,,126204,10498
"G D Goenka Public School, Rohini Sector 9",110085,1347,6,6,,,225,Onetime,8185,Monthly,,,14375,Annually,15772,Annually,,,128592,10697
"G D Goenka Public School, Rohini Sector 9",110085,1347,7,7,,,225,Onetime,8185,Monthly,,,14375,Annually,15772,Annually,,,128592,10697
"G D Goenka Public School, Rohini Sector 9",110085,1347,8,8,,,225,Onetime,8185,Monthly,,,14375,Annually,15772,Annually,,,128592,10697
"G D Goenka Public School, Rohini Sector 9",110085,1347,9,9,,,225,Onetime,8675,Monthly,,,14375,Annually,15772,Annually,,,134472,11187
"G D Goenka Public School, Rohini Sector 9",110085,1347,10,10,,,225,Onetime,8675,Monthly,,,14375,Annually,15772,Annually,,,134472,11187
