School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Trinity International School,411048,1726,Nursery,12,,,20500,Onetime,,,32400,Annually,,,6000,Annually,,,58900,11300
Trinity International School,411048,1726,LKG,17,,,20500,Onetime,,,32400,Annually,,,6000,Annually,,,58900,11300
Trinity International School,411048,1726,UKG,16,,,20500,Onetime,,,32400,Annually,,,6000,Annually,,,58900,11300
Trinity International School,411048,1726,1,1,,,20500,Onetime,,,43740,Annually,,,12800,Annually,,,77040,15647
Trinity International School,411048,1726,2,2,,,20500,Onetime,,,43740,Annually,,,12800,Annually,,,77040,15647
Trinity International School,411048,1726,3,3,,,20500,Onetime,,,48600,Annually,,,12800,Annually,,,81900,17267
Trinity International School,411048,1726,4,4,,,20500,Onetime,,,48600,Annually,,,12800,Annually,,,81900,17267
Trinity International School,411048,1726,5,5,,,20500,Onetime,,,48600,Annually,,,12800,Annually,,,81900,17267
Trinity International School,411048,1726,6,6,,,20500,Onetime,,,50220,Annually,,,13800,Annually,,,84520,17890
Trinity International School,411048,1726,7,7,,,20500,Onetime,,,50220,Annually,,,13800,Annually,,,84520,17890
Trinity International School,411048,1726,8,8,,,20500,Onetime,,,50220,Annually,,,13800,Annually,,,84520,17890
Trinity International School,411048,1726,9,9,,,20500,Onetime,,,52650,Annually,,,15800,Annually,,,88950,18867
Trinity International School,411048,1726,10,10,,,20500,Onetime,,,52650,Annually,,,15800,Annually,,,88950,18867
Global Talent International School,411019,1601,Pre Nursery,11,,,1100,Onetime,,,23500,Annually,,,,,,,24600,7833
Global Talent International School,411019,1601,UKG,16,,,1100,Onetime,,,31500,Annually,,,,,,,32600,10500
Disney International School,412105,1581,NA,,,,,,,,,,,,,,,,0,0
Disney Kids Pre School,412105,1582,NA,,,,,,,,,,,,,,,,0,0
