School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Lucknow Public School,110080,1559,NA,,,,,,,,,,,,,,,,,
"Kalka Public School, Kalkaji",110019,1602,1,1,,,200,Onetime,3300,Monthly,,,6000,Annually,22380,Annually,,,68180,5665
"Kalka Public School, Kalkaji",110019,1602,2,2,,,200,Onetime,3300,Monthly,,,6000,Annually,22380,Annually,,,68180,5665
"Kalka Public School, Kalkaji",110019,1602,3,3,,,200,Onetime,3300,Monthly,,,6000,Annually,22380,Annually,,,68180,5665
"Kalka Public School, Kalkaji",110019,1602,4,4,,,200,Onetime,3300,Monthly,,,6000,Annually,22380,Annually,,,68180,5665
"Kalka Public School, Kalkaji",110019,1602,5,5,,,200,Onetime,3300,Monthly,,,6000,Annually,22380,Annually,,,68180,5665
"Kalka Public School, Kalkaji",110019,1602,6,6,,,200,Onetime,3605,Monthly,,,6500,Annually,22380,Annually,,,72340,6012
"Kalka Public School, Kalkaji",110019,1602,7,7,,,200,Onetime,3605,Monthly,,,6500,Annually,22380,Annually,,,72340,6012
"Kalka Public School, Kalkaji",110019,1602,8,8,,,200,Onetime,3605,Monthly,,,6500,Annually,22380,Annually,,,72340,6012
"Kalka Public School, Kalkaji",110019,1602,9,9,,,200,Onetime,3750,Monthly,,,6760,Annually,21310,Annually,,,73270,6089
"Kalka Public School, Kalkaji",110019,1602,10,10,,,200,Onetime,3750,Monthly,,,6760,Annually,21310,Annually,,,73270,6089
"Kalka Public School, Kalkaji",110019,1602,11,14,,,200,Onetime,3750,Monthly,,,6760,Annually,20880,Annually,,,72840,6053
"Kalka Public School, Kalkaji",110019,1602,12,15,,,200,Onetime,3750,Monthly,,,6760,Annually,20880,Annually,,,72840,6053
