School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
"Guru Tegh Bahadur Public School, Model Town",110009,291,1,1,,,200,Onetime,1640,Monthly,,,2900,Annually,7500,Annually,,,30280,2507
"Guru Tegh Bahadur Public School, Model Town",110009,291,2,2,,,200,Onetime,1640,Monthly,,,2900,Annually,7500,Annually,,,30280,2507
"Guru Tegh Bahadur Public School, Model Town",110009,291,3,3,,,200,Onetime,1640,Monthly,,,2900,Annually,7500,Annually,,,30280,2507
"Guru Tegh Bahadur Public School, Model Town",110009,291,4,4,,,200,Onetime,1640,Monthly,,,2900,Annually,7500,Annually,,,30280,2507
"Guru Tegh Bahadur Public School, Model Town",110009,291,5,5,,,200,Onetime,1640,Monthly,,,2900,Annually,7500,Annually,,,30280,2507
"Guru Tegh Bahadur Public School, Model Town",110009,291,6,6,,,200,Onetime,1850,Monthly,,,3300,Annually,7500,Annually,,,33200,2750
"Guru Tegh Bahadur Public School, Model Town",110009,291,7,7,,,200,Onetime,1850,Monthly,,,3300,Annually,7500,Annually,,,33200,2750
"Guru Tegh Bahadur Public School, Model Town",110009,291,8,8,,,200,Onetime,1850,Monthly,,,3300,Annually,7500,Annually,,,33200,2750
"Guru Tegh Bahadur Public School, Model Town",110009,291,9,9,,,200,Onetime,2350,Monthly,,,4200,Annually,7500,Annually,,,40100,3325
"Guru Tegh Bahadur Public School, Model Town",110009,291,10,10,,,200,Onetime,2350,Monthly,,,4200,Annually,7500,Annually,,,40100,3325
"Guru Tegh Bahadur Public School, Model Town",110009,291,11,14,,,200,Onetime,2700,Monthly,,,4800,Annually,7500,Annually,,,44900,3725
"Guru Tegh Bahadur Public School, Model Town",110009,291,12,15,,,200,Onetime,2700,Monthly,,,4800,Annually,7500,Annually,,,44900,3725
Fair Child Public School,110093,1585,1,1,,,200,Onetime,1250,Monthly,,,,,6500,Annually,,,21700,1792
Fair Child Public School,110093,1585,2,2,,,200,Onetime,1250,Monthly,,,,,6500,Annually,,,21700,1792
Fair Child Public School,110093,1585,3,3,,,200,Onetime,1250,Monthly,,,,,6500,Annually,,,21700,1792
Fair Child Public School,110093,1585,4,4,,,200,Onetime,1250,Monthly,,,,,6500,Annually,,,21700,1792
Fair Child Public School,110093,1585,5,5,,,200,Onetime,1250,Monthly,,,,,6500,Annually,,,21700,1792
Fair Child Public School,110093,1585,6,6,,,200,Onetime,1520,Monthly,,,,,7500,Annually,,,25940,2145
Fair Child Public School,110093,1585,7,7,,,200,Onetime,1520,Monthly,,,,,7500,Annually,,,25940,2145
