School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Shiv Modern Sr. Sec. School,110063,302,1,1,,,200,Onetime,1135,Monthly,,,2030,Annually,505,Annually,,,16355,1346
Shiv Modern Sr. Sec. School,110063,302,2,2,,,200,Onetime,1135,Monthly,,,2030,Annually,505,Annually,,,16355,1346
Shiv Modern Sr. Sec. School,110063,302,3,3,,,200,Onetime,1135,Monthly,,,2030,Annually,505,Annually,,,16355,1346
Shiv Modern Sr. Sec. School,110063,302,4,4,,,200,Onetime,1135,Monthly,,,2030,Annually,505,Annually,,,16355,1346
Shiv Modern Sr. Sec. School,110063,302,5,5,,,200,Onetime,1135,Monthly,,,2030,Annually,505,Annually,,,16355,1346
Shiv Modern Sr. Sec. School,110063,302,6,6,,,200,Onetime,1390,Monthly,,,2520,Annually,585,Annually,,,19985,1649
Shiv Modern Sr. Sec. School,110063,302,7,7,,,200,Onetime,1390,Monthly,,,2520,Annually,585,Annually,,,19985,1649
Shiv Modern Sr. Sec. School,110063,302,8,8,,,200,Onetime,1390,Monthly,,,2520,Annually,585,Annually,,,19985,1649
Shiv Modern Sr. Sec. School,110063,302,9,9,,,200,Onetime,1895,Monthly,,,3420,Annually,665,Annually,,,27025,2235
Shiv Modern Sr. Sec. School,110063,302,10,10,,,200,Onetime,1895,Monthly,,,3420,Annually,665,Annually,,,27025,2235
Shiv Modern Sr. Sec. School,110063,302,11,14,,,200,Onetime,2235,Monthly,,,3900,Annually,705,Annually,,,31625,2619
Shiv Modern Sr. Sec. School,110063,302,12,15,,,200,Onetime,2235,Monthly,,,3900,Annually,705,Annually,,,31625,2619
"Delhi International School, Dwarka",110077,1353,1,1,,,200,Onetime,4488,Monthly,,,4788,Annually,11232,Annually,,,70076,5823
"Delhi International School, Dwarka",110077,1353,2,2,,,200,Onetime,4488,Monthly,,,4788,Annually,11232,Annually,,,70076,5823
"Delhi International School, Dwarka",110077,1353,3,3,,,200,Onetime,4488,Monthly,,,4788,Annually,11232,Annually,,,70076,5823
"Delhi International School, Dwarka",110077,1353,4,4,,,200,Onetime,4488,Monthly,,,4788,Annually,11232,Annually,,,70076,5823
"Delhi International School, Dwarka",110077,1353,5,5,,,200,Onetime,4488,Monthly,,,4788,Annually,11232,Annually,,,70076,5823
"Delhi International School, Dwarka",110077,1353,6,6,,,200,Onetime,4762,Monthly,,,4788,Annually,11232,Annually,,,73364,6097
"Delhi International School, Dwarka",110077,1353,7,7,,,200,Onetime,4762,Monthly,,,4788,Annually,11232,Annually,,,73364,6097
"Delhi International School, Dwarka",110077,1353,8,8,,,200,Onetime,4762,Monthly,,,4788,Annually,11232,Annually,,,73364,6097
"Delhi International School, Dwarka",110077,1353,9,9,,,200,Onetime,5137,Monthly,,,4788,Annually,11232,Annually,,,77864,6472
"Delhi International School, Dwarka",110077,1353,10,10,,,200,Onetime,5137,Monthly,,,4788,Annually,11232,Annually,,,77864,6472
"Delhi International School, Dwarka",110077,1353,11,14,,,200,Onetime,5444,Monthly,,,4788,Annually,12276,Annually,,,82592,6866
"Delhi International School, Dwarka",110077,1353,12,15,,,200,Onetime,5444,Monthly,,,4788,Annually,12276,Annually,,,82592,6866
"Mothers Mount Global School, Vikaspuri",110018,325,Pre Nursery,11,,,25,Onetime,3400,Monthly,,,,,,,,,40825,3400
"Mothers Mount Global School, Vikaspuri",110018,325,Nursery,12,,,25,Onetime,3400,Monthly,,,,,,,,,40825,3400
"Mothers Mount Global School, Vikaspuri",110018,325,LKG,17,,,25,Onetime,3400,Monthly,,,,,,,,,40825,3400
"Mothers Mount Global School, Vikaspuri",110018,325,UKG,16,,,25,Onetime,3400,Monthly,,,,,,,,,40825,3400
"Mothers Mount Global School, Vikaspuri",110018,325,1,1,,,25,Onetime,2100,Monthly,,,,,,,,,25225,2100
"Mothers Mount Global School, Vikaspuri",110018,325,2,2,,,25,Onetime,2100,Monthly,,,,,,,,,25225,2100
"Mothers Mount Global School, Vikaspuri",110018,325,3,3,,,25,Onetime,2100,Monthly,,,,,,,,,25225,2100
"Mothers Mount Global School, Vikaspuri",110018,325,4,4,,,25,Onetime,2300,Monthly,,,,,,,,,27625,2300
"Mothers Mount Global School, Vikaspuri",110018,325,5,5,,,25,Onetime,2300,Monthly,,,,,,,,,27625,2300
"Mothers Mount Global School, Vikaspuri",110018,325,6,6,,,25,Onetime,2400,Monthly,,,,,,,,,28825,2400
"Mothers Mount Global School, Vikaspuri",110018,325,7,7,,,25,Onetime,2400,Monthly,,,,,,,,,28825,2400
"Mothers Mount Global School, Vikaspuri",110018,325,8,8,,,25,Onetime,2400,Monthly,,,,,,,,,28825,2400
"Mothers Mount Global School, Vikaspuri",110018,325,9,9,,,25,Onetime,2600,Monthly,,,,,,,,,31225,2600
"Mothers Mount Global School, Vikaspuri",110018,325,10,10,,,25,Onetime,2600,Monthly,,,,,,,,,31225,2600
Har Govind Sr Sec Public School,110093,1712,1,1,,,200,Onetime,700,Monthly,,,1800,Annually,1000,Annually,,,11400,933
Har Govind Sr Sec Public School,110093,1712,2,2,,,200,Onetime,700,Monthly,,,1800,Annually,1000,Annually,,,11400,933
Har Govind Sr Sec Public School,110093,1712,3,3,,,200,Onetime,700,Monthly,,,1800,Annually,1000,Annually,,,11400,933
Har Govind Sr Sec Public School,110093,1712,4,4,,,200,Onetime,700,Monthly,,,1800,Annually,1000,Annually,,,11400,933
Har Govind Sr Sec Public School,110093,1712,5,5,,,200,Onetime,700,Monthly,,,1800,Annually,1000,Annually,,,11400,933
Har Govind Sr Sec Public School,110093,1712,6,6,,,200,Onetime,1100,Monthly,,,2400,Annually,1500,Annually,,,17300,1425
Har Govind Sr Sec Public School,110093,1712,7,7,,,200,Onetime,1100,Monthly,,,2400,Annually,1500,Annually,,,17300,1425
Har Govind Sr Sec Public School,110093,1712,8,8,,,200,Onetime,1100,Monthly,,,2400,Annually,1500,Annually,,,17300,1425
Har Govind Sr Sec Public School,110093,1712,9,9,,,200,Onetime,1200,Monthly,,,3000,Annually,2000,Annually,,,19600,1617
Har Govind Sr Sec Public School,110093,1712,10,10,,,200,Onetime,1200,Monthly,,,3000,Annually,2000,Annually,,,19600,1617
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,1,1,,,200,Onetime,5030,Monthly,,,9036,Annually,38440,Annually,500,Onetime,108536,8986
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,2,2,,,200,Onetime,5030,Monthly,,,9036,Annually,38440,Annually,500,Onetime,108536,8986
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,3,3,,,200,Onetime,5030,Monthly,,,9036,Annually,38440,Annually,500,Onetime,108536,8986
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,4,4,,,200,Onetime,5030,Monthly,,,9036,Annually,38440,Annually,500,Onetime,108536,8986
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,5,5,,,200,Onetime,5030,Monthly,,,9036,Annually,38440,Annually,500,Onetime,108536,8986
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,6,6,,,200,Onetime,5250,Monthly,,,9036,Annually,38440,Annually,500,Onetime,111176,9206
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,7,7,,,200,Onetime,5250,Monthly,,,9036,Annually,38440,Annually,500,Onetime,111176,9206
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,8,8,,,200,Onetime,5250,Monthly,,,9036,Annually,38440,Annually,500,Onetime,111176,9206
"St. Thomas' School, Dwarka (An extension of St. Thomas' School, New Delhi)",110071,1354,9,9,,,200,Onetime,5580,Monthly,,,9036,Annually,38440,Annually,500,Onetime,115136,9536
