country_id,country,state,city,district,district_region,area,pincode
1,India,Delhi,Delhi,North Delhi,Aruna Nagar,,110054
1,India,Delhi,Delhi,North Delhi,Avantika,,110085
1,India,Delhi,Delhi,North Delhi,Baratooti,,110006
1,India,Delhi,Delhi,North Delhi,Burari,,110084
1,India,Delhi,Delhi,North Delhi,C.C.I.,,110007
1,India,Delhi,Delhi,North Delhi,Chandni Chowk,,110006
1,India,Delhi,Delhi,North Delhi,Chawri Bazar,,110006
1,India,Delhi,Delhi,North Delhi,Civil Lines,,110054
1,India,Delhi,Delhi,North Delhi,Dareeba,,110006
1,India,Delhi,Delhi,North Delhi,Delhi G.P.O.,,110006
1,India,Delhi,Delhi,North Delhi,Delhi Sadar Bazar,,110006
1,India,Delhi,Delhi,North Delhi,Delhi University,,110007
1,India,Delhi,Delhi,North Delhi,District Courts,,110054
1,India,Delhi,Delhi,North Delhi,Gulabi Bagh,,110007
1,India,Delhi,Delhi,North Delhi,Jagatpur,,110084
1,India,Delhi,Delhi,North Delhi,Jawahar Nagar,,110007
1,India,Delhi,Delhi,North Delhi,Jharoda Majraa,,110084
1,India,Delhi,Delhi,North Delhi,Kamla Nagar,,110007
1,India,Delhi,Delhi,North Delhi,Kashmiri Gate,,110006
1,India,Delhi,Delhi,North Delhi,Majnu ka Tila,,110054
1,India,Delhi,Delhi,North Delhi,Malka Ganj,,110007
1,India,Delhi,Delhi,North Delhi,Padam Nagar,,110007
1,India,Delhi,Delhi,North Delhi,Patrachar Vidyalay,,110054
1,India,Delhi,Delhi,North Delhi,R.C.A.O.,,110007
1,India,Delhi,Delhi,North Delhi,Rana Pratap Bagh,,110007
1,India,Delhi,Delhi,North Delhi,Roop Nagar,,110007
1,India,Delhi,Delhi,North Delhi,Roshan Ara Road,,110007
1,India,Delhi,Delhi,North Delhi,S.T. Road,,110006
1,India,Delhi,Delhi,North Delhi,Shakti Nagar,,110007
1,India,Delhi,Delhi,North Delhi,Timarpur,,110054
1,India,Delhi,Delhi,North Delhi,Wazirabad,,110084
1,India,UttarPradesh,Lucknow,Lucknow,32 Bn PAC,,226023
1,India,UttarPradesh,Lucknow,Lucknow,A N L Colony,,226004
1,India,UttarPradesh,Lucknow,Lucknow,A P Sabha,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Aashiana,,226012
1,India,UttarPradesh,Lucknow,Lucknow,Adampur Janubi,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Adarsh Nagar,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Ain,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Ain,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Aishbagh,,226004
1,India,UttarPradesh,Lucknow,Lucknow,Akariakalan,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Alambagh,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Alamnagar,,226017
1,India,UttarPradesh,Lucknow,Lucknow,Aliganj Extension,,226024
1,India,UttarPradesh,Lucknow,Lucknow,Aliganj,,226024
1,India,UttarPradesh,Lucknow,Lucknow,Amaniganj,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Amausi Ad,,226009
1,India,UttarPradesh,Lucknow,Lucknow,Amausi,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Amberganj ,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Amethi,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Amethia Salempur,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Aminabad Park,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Amraigaon,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Anandnagar,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Anaura Kalan,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Antagarhi,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Arjunganj,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Arjunpur,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Arya Nagar,,226004
1,India,UttarPradesh,Lucknow,Lucknow,Asti,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Atari,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Ateswa,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Aurawan,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Avas Vikas Colony,,226017
1,India,UttarPradesh,Lucknow,Lucknow,B R A University,,226025
1,India,UttarPradesh,Lucknow,Lucknow,Badiyan,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Bahargaon,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Bahrauli,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Bahroo,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Bakkash,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Bakshi Ka Talab,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Balrampur Hospital,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Bani,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Banthra,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Baragaon,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Barauna,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Barawan Kalan,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Barha,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Barwalia,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Basha,,226026
1,India,UttarPradesh,Lucknow,Lucknow,Batha Sabauli,,226021
1,India,UttarPradesh,Lucknow,Lucknow,Baurumau,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Bazargaron,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Beerpur,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Begariamau,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Behta,,226026
1,India,UttarPradesh,Lucknow,Lucknow,Benti,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Benti,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Bhadeswa,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Bhadrukh,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Bhadwana,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Bhagwantpur,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Bharwara,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Bhatgaon,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Bhatgaon,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Bhauli,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Bhilampur,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Bibipur,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Bijnaur,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Blunt Square,,226004
1,India,UttarPradesh,Lucknow,Lucknow,C B Lines,,226002
1,India,UttarPradesh,Lucknow,Lucknow,C E School,,226008
1,India,UttarPradesh,Lucknow,Lucknow,C&w Work Shop,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Canal Colony,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Chakganjaria,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Chandganj,,226024
1,India,UttarPradesh,Lucknow,Lucknow,Chandrawal,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Charbagh,,226004
1,India,UttarPradesh,Lucknow,Lucknow,Chatauni,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Chaupatiyan ,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Chinhat,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Cimap,,226015
1,India,UttarPradesh,Lucknow,Lucknow,CPMG Campus,,226001
1,India,UttarPradesh,Lucknow,Lucknow,D M Road,,226020
1,India,UttarPradesh,Lucknow,Lucknow,D S Bazar,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Daliganj,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Darul Safa,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Daulatpur,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Dayalpur,,226302
1,India,UttarPradesh,Lucknow,Lucknow,Deoti,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Dhendhemau,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Diguria,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Dilawarnagar,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Dilkusha,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Distt. Jail,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Dona,,226101
1,India,UttarPradesh,Lucknow,Lucknow,FFTC Indaurabagh,,226202
1,India,UttarPradesh,Lucknow,Lucknow,Gahdon,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Ganesh Ganj,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Garhi Chunauti,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Gaunda,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Ghaila,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Ghazipur,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Gohramau,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Goila,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Gokhley Marg,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Golaganj,,226018
1,India,UttarPradesh,Lucknow,Lucknow,Gomtinagar,,226010
1,India,UttarPradesh,Lucknow,Lucknow,Gomtinagar Vistar,,226010
1,India,UttarPradesh,Lucknow,Lucknow,Gopramau,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Gosainganj,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Guramba,,226026
1,India,UttarPradesh,Lucknow,Lucknow,Gurdwara,,226004
1,India,UttarPradesh,Lucknow,Lucknow,H C Bench,,226001
1,India,UttarPradesh,Lucknow,Lucknow,H E School,,226006
1,India,UttarPradesh,Lucknow,Lucknow,Hal,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Harauni,,226401
1,India,UttarPradesh,Lucknow,Lucknow,Hasanpur Keoli,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Hasnain Market,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Hasnapur,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Husainabad,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Iim Mubarakpur,,226013
1,India,UttarPradesh,Lucknow,Lucknow,IIT Dasauli,,226026
1,India,UttarPradesh,Lucknow,Lucknow,Ind.Area Sarojininagar,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Indara,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Indira Nagar,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Indiranagar Sec-14,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Indiranagar Sec-18,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Indiranagar Sec-21,,226016
1,India,UttarPradesh,Lucknow,Lucknow,Industria Area Chinhat,,226019
1,India,UttarPradesh,Lucknow,Lucknow,Industrial Area,,226009
1,India,UttarPradesh,Lucknow,Lucknow,Int Gaon,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Itaunja,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Jabrauli,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Jagdishpur,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Jaitikhera,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Jamkhanwa,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Jamolia,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Jankipuram Extension,,226031
1,India,UttarPradesh,Lucknow,Lucknow,Jankipuram,,226021
1,India,UttarPradesh,Lucknow,Lucknow,Jawahar Bhawan,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Jindaur,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Juggaur,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Kahla,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kakori,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Kakrabad,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kalli Pacchim,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Kalyanpur,,226022
1,India,UttarPradesh,Lucknow,Lucknow,Kamlabad Badauli,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Kankaha,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Karora,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Kasimpur Biruha,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Kasmandi Kalan,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kasmandi Khurd,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Katauli,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kathwara,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Kathwara,,226202
