School_id,School_name,Country_id,Country_name,State_id,State_name,City_id,City_name,District_id,District_name,District_region_id,_District_region_name,Area_id,Area_name,Pincode
1838,Saraswati vidya niketan,1,India,1,Delhi,1,Delhi,1,North Delhi,31,Wazirabad,,,110084
1833,Aadharshila Vidyapeeth,1,India,1,Delhi,1,Delhi,9,North West Delhi,820,Pitampura,,,110034
1745,St. Xavier Sr secondary school,1,India,1,Delhi,1,Delhi,9,North West Delhi,782,kalyan vihar,,,110007
1716,"JOSEPH AND MARY PUBLIC SCHOOL, Burari",1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
1687,"GD Goenka Public School,Model Town",1,India,1,Delhi,1,Delhi,9,North West Delhi,802,Model Town III,,,110009
520,Joseph And Mary Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
519,St. John's Convent School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
518,D.K. Convent School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
517,Oscar Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
516,Rukmani Devi Jaipuria Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,8,Civil Lines,,,110054
515,Anubhav Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
514,St. Mother Teresa Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
513,Murti Devi Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
512,Mount Olivet Senior Secondary School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
511,Little Star Convent School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
510,Manava Bhawna Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
509,Bud's Paradise School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
508,Rani Public School,1,India,1,Delhi,1,Delhi,1,North Delhi,4,Burari,,,110084
